,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
169,Crow,NOAM,45.83,-108.48,n,5.8099999999999996,2.6000000000000001,4.205,"Binford 2001, Kelly 2013",0,0,0
170,Teton_Sioux,NOAM,44.5,-102.27,n,8.7699999999999996,NA,8.77,Binford 2001,0,NA,0
171,Kutenai_(Lower),NOAM,47.48,-114.08,n,2.0099999999999998,2,2.005,"Binford 2001, Kelly 2013",40,NA,40
172,Bannock_(Eastern),NOAM,43.66,-112.32,n,2.3100000000000001,1.3100000000000001,1.81,"Binford 2001, Kelly 2013",20,NA,20
173,Gros_Ventre,NOAM,48.12,-105.6,n,3.3700000000000001,NA,3.37,Binford 2001,0,NA,0
174,Bungi_(Plains_Ojibwa),NOAM,47.6,-97.25,n,2.79,NA,2.79,Binford 2001,15,NA,15
175,Piegan-(Pikuni),NOAM,49.34,-111.21,n,2.54,NA,2.54,Binford 2001,0,NA,0
176,Blackfoot,NOAM,51.01,-110.76,n,3.46,4.2999999999999998,3.88,"Binford 2001, Kelly 2013",5,0,2.5
177,Assiniboin,NOAM,49.49,-102.43,n,3.21,5.7999999999999998,4.505,"Binford 2001, Kelly 2013",10,10,10
178,Plains_Cree,NOAM,51.86,-102.67,n,2.73,1.8999999999999999,2.315,"Binford 2001, Kelly 2013",15,NA,15
179,Blood_(Kainah),NOAM,52.79,-113.86,n,4.4400000000000004,NA,4.44,Binford 2001,5,NA,5
180,Sarsi,NOAM,53.15,-111.04,n,1.75,NA,1.75,"Binford 2001, Kelly 2013",8,0,4
181,Squamish,NOAM,49.77,-123.19,n,56.5,NA,56.5,"Binford 2001, Kelly 2013",60,NA,60
182,Alsea,NOAM,44.42,-123.84,n,96.799999999999997,73,84.9,"Binford 2001, Kelly 2013",75,70,72.5
183,Puyallup,NOAM,47.11,-122.04,n,36.75,195,115.875,"Binford 2001, Kelly 2013",70,50,60
184,Twana,NOAM,47.55,-123.16,n,32.399999999999999,25,28.7,"Binford 2001, Kelly 2013",70,60,65
185,Chehalis,NOAM,46.87,-123.67,n,21.969999999999999,NA,21.97,Binford 2001,65,NA,65
186,Nootka_(Central),NOAM,49.34,-125.74,n,153.90000000000001,71.5,112.7,"Binford 2001, Kelly 2013",95,NA,95
187,Chinook,NOAM,46.06,-123.75,n,33.799999999999997,148.59999999999999,91.2,"Binford 2001, Kelly 2013",75,NA,75
188,Coos,NOAM,43.43,-124.11,n,104.2,NA,104.2,Binford 2001,80,NA,80
189,Lilioot,NOAM,50.46,-123,n,23.5,23.5,23.5,"Binford 2001, Kelly 2013",50,NA,50
190,Lummi,NOAM,48.84,-122.34,n,104.63,NA,104.63,Binford 2001,75,NA,75
191,Quinault,NOAM,47.38,-123.82,n,58.700000000000003,46,52.35,"Binford 2001, Kelly 2013",75,50,62.5
192,Statlo,NOAM,49.23,-122.7,n,66,NA,66,Binford 2001,75,NA,75
193,Cowichan,NOAM,48.41,-123.64,n,34.75,34,34.375,"Binford 2001, Kelly 2013",60,NA,60
194,Tillamook,NOAM,45.4,-123.82,n,41.32,NA,41.32,Binford 2001,45,NA,45
195,Comox,NOAM,50,-125.5,n,55,NA,55,Binford 2001,75,NA,75
196,Bella_Bella,NOAM,52.87,-127.87,n,20.510000000000002,NA,20.51,"Binford 2001, Kelly 2013",70,50,60
197,Quileute,NOAM,47.77,-124.14,n,104.3,64.5,84.4,"Binford 2001, Kelly 2013",75,NA,75
198,Klallam,NOAM,47.95,-123.55,n,70,NA,70,Binford 2001,70,NA,70
199,Makah,NOAM,48.22,-124.58,n,123,86,104.5,"Binford 2001, Kelly 2013",80,60,70
200,Haisla,NOAM,53.5,-128.42,n,19.100000000000001,16,17.55,"Binford 2001, Kelly 2013",55,NA,55
201,Kwakiutl,NOAM,50.42,-126.67,n,68.700000000000003,57,62.85,"Binford 2001, Kelly 2013",85,NA,85
202,Tsimshim,NOAM,54,-129.58,n,41.899999999999999,57.5,49.7,"Binford 2001, Kelly 2013",75,60,67.5
203,Haida,NOAM,53.54,-132.29,n,97.090000000000003,79,88.045,"Binford 2001, Kelly 2013",89,60,74.5
204,Bella_Coola,NOAM,52.32,-126.58,n,13,10,11.5,"Binford 2001, Kelly 2013",70,60,65
205,Tlingit,NOAM,57,-133.59,n,11.42,25,18.21,"Binford 2001, Kelly 2013",84,NA,84
206,Gitksan,NOAM,55.65,-128.06,n,23.579999999999998,NA,23.58,Binford 2001,69,NA,69
207,Konaig,NOAM,57.93,-153.16,n,30.600000000000001,NA,30.6,Binford 2001,94,NA,94
208,Eyak,NOAM,60.48,-144,n,5.8600000000000003,NA,5.86,Binford 2001,89.99,NA,89.99
209,Kuskowagmut,NOAM,61.01,-161.55,n,17.300000000000001,3,10.15,"Binford 2001, Kelly 2013",75,NA,75
210,Chugach_Eskimo,NOAM,61.21,-147.61,n,12.1,18,15.05,"Binford 2001, Kelly 2013",89.99,80,84.995
211,Aleut,NOAM,55,-162.85,n,54.649999999999999,65,59.825,"Binford 2001, Kelly 2013",94,60,77
212,Nunivak,NOAM,60.03,-166.3,n,19.219999999999999,30,24.61,"Binford 2001, Kelly 2013",84,60,72
213,Tenino,NOAM,45.59,-120.45,n,19,18,18.5,"Binford 2001, Kelly 2013",50,50,50
